category,topic,question,answer,data
blood_pressure,blood_pressure,How to reduce blood pressure?,"Reduce BP by: limiting salt, exercising regularly, maintaining healthy weight, limiting alcohol, managing stress, eating potassium-rich foods.",{}
fitness,fitness,Best exercises for weight loss?,"Best exercises for weight loss: running, cycling, swimming, HIIT workouts, strength training, and walking 10,000+ steps daily.",{}
sleep,sleep,How to improve sleep quality?,"Improve sleep: maintain consistent schedule, avoid screens before bed, keep room dark and cool, avoid caffeine late, exercise regularly.",{}
diabetes,diabetes,What is healthy blood sugar level?,Normal fasting blood sugar: 70-100 mg/dL. Prediabetes: 100-125. Diabetes: 126+. After meals: below 140 mg/dL is normal.,{}
pregnancy,Week 1,What happens during pregnancy week 1?,Week 1: Baby - Conception occurs. Mother - Preparing for pregnancy. Advice: Start taking folic acid,"{'week': 1, 'baby_development': 'Conception occurs', 'mother_changes': 'Preparing for pregnancy', 'advice': 'Start taking folic acid', 'trimester': 1}"
pregnancy,Week 8,What happens during pregnancy week 8?,Week 8: Baby - Size of a raspberry. Mother - Morning sickness may begin. Advice: Eat small frequent meals,"{'week': 8, 'baby_development': 'Size of a raspberry', 'mother_changes': 'Morning sickness may begin', 'advice': 'Eat small frequent meals', 'trimester': 1}"
pregnancy,Week 12,What happens during pregnancy week 12?,Week 12: Baby - Size of a plum. Mother - First trimester ending. Advice: First ultrasound scan,"{'week': 12, 'baby_development': 'Size of a plum', 'mother_changes': 'First trimester ending', 'advice': 'First ultrasound scan', 'trimester': 1}"
pregnancy,Week 20,What happens during pregnancy week 20?,"Week 20: Baby - Size of a banana. Mother - May feel baby movements. Advice: Midpoint scan, eat iron-rich foods","{'week': 20, 'baby_development': 'Size of a banana', 'mother_changes': 'May feel baby movements', 'advice': 'Midpoint scan, eat iron-rich foods', 'trimester': 2}"
pregnancy,Week 28,What happens during pregnancy week 28?,"Week 28: Baby - Size of an eggplant. Mother - Third trimester begins. Advice: Monitor baby kicks, prepare nursery","{'week': 28, 'baby_development': 'Size of an eggplant', 'mother_changes': 'Third trimester begins', 'advice': 'Monitor baby kicks, prepare nursery', 'trimester': 3}"
pregnancy,Week 40,What happens during pregnancy week 40?,"Week 40: Baby - Full term baby. Mother - Ready for delivery. Advice: Watch for labor signs, hospital bag ready","{'week': 40, 'baby_development': 'Full term baby', 'mother_changes': 'Ready for delivery', 'advice': 'Watch for labor signs, hospital bag ready', 'trimester': 3}"
womens_health,Cramps,What to do for Cramps?,"For Cramps during Menstrual phase: Use heating pad, take pain relief, rest","{'symptom': 'Cramps', 'phase': 'Menstrual', 'advice': 'Use heating pad, take pain relief, rest', 'severity': 'moderate', 'severity_score': 2}"
womens_health,Bloating,What to do for Bloating?,"For Bloating during Luteal phase: Reduce salt intake, stay hydrated, gentle exercise","{'symptom': 'Bloating', 'phase': 'Luteal', 'advice': 'Reduce salt intake, stay hydrated, gentle exercise', 'severity': 'mild', 'severity_score': 1}"
womens_health,Mood swings,What to do for Mood swings?,"For Mood swings during Luteal phase: Practice relaxation techniques, get adequate sleep","{'symptom': 'Mood swings', 'phase': 'Luteal', 'advice': 'Practice relaxation techniques, get adequate sleep', 'severity': 'moderate', 'severity_score': 2}"
womens_health,Fatigue,What to do for Fatigue?,"For Fatigue during Menstrual phase: Rest well, eat iron-rich foods, stay hydrated","{'symptom': 'Fatigue', 'phase': 'Menstrual', 'advice': 'Rest well, eat iron-rich foods, stay hydrated', 'severity': 'moderate', 'severity_score': 2}"
womens_health,Headache,What to do for Headache?,"For Headache during Menstrual phase: Stay hydrated, reduce stress, get enough sleep","{'symptom': 'Headache', 'phase': 'Menstrual', 'advice': 'Stay hydrated, reduce stress, get enough sleep', 'severity': 'mild', 'severity_score': 1}"
womens_health,Breast tenderness,What to do for Breast tenderness?,"For Breast tenderness during Luteal phase: Wear comfortable bra, reduce caffeine","{'symptom': 'Breast tenderness', 'phase': 'Luteal', 'advice': 'Wear comfortable bra, reduce caffeine', 'severity': 'mild', 'severity_score': 1}"
